,number,value,datetime_start,datetime_complete,duration,params_encoded_space_dim,params_learning_rate,params_momentum,params_n_channels,params_optimizer,params_weight_decay,system_attrs_fixed_params,state
29,29,0.2738782465457916,2021-06-21 23:04:44.983599,2021-06-21 23:04:45.215394,0 days 00:00:00.231795000,40,0.0028960717942200175,0.8846873603584469,10,sgd,2.8482427128818394e-05,,PRUNED
30,30,0.24749483168125153,2021-06-21 23:04:45.215394,2021-06-21 23:04:45.415948,0 days 00:00:00.200554000,50,0.0013676686659612762,0.8549397692657421,10,Adam,5.934987139514654e-05,,PRUNED
31,31,0.007451980374753475,2021-06-21 23:04:45.415948,2021-06-21 23:31:22.714779,0 days 00:26:37.298831000,95,0.0025169604559986646,0.9240371686269927,9,Adam,2.5595346743415784e-05,,COMPLETE
32,32,0.21860180795192719,2021-06-21 23:31:22.714779,2021-06-21 23:31:22.930969,0 days 00:00:00.216190000,99,0.002270255016852597,0.925229212679404,9,Adam,4.460416706462591e-05,,PRUNED
33,33,0.19180616736412048,2021-06-21 23:31:22.930969,2021-06-21 23:31:23.169308,0 days 00:00:00.238339000,84,0.00499160645307457,0.9024120386674697,10,Adam,9.719991996252184e-05,,PRUNED
34,34,0.2356288731098175,2021-06-21 23:31:23.169308,2021-06-21 23:31:23.385559,0 days 00:00:00.216251000,4,0.004888743210716665,0.936256060862784,8,Adam,2.5996108213664466e-05,,PRUNED
35,35,0.18612153828144073,2021-06-21 23:31:23.385559,2021-06-21 23:31:23.601739,0 days 00:00:00.216180000,92,0.0025061444171180763,0.8307061429829166,9,Adam,2.4071444285141538e-05,,PRUNED
36,36,0.22365020215511322,2021-06-21 23:31:23.601739,2021-06-21 23:31:23.833538,0 days 00:00:00.231799000,68,0.0007057080791067451,0.9735770685738987,10,Adam,1.5369771834614787e-05,,PRUNED
37,37,0.2778048515319824,2021-06-21 23:31:23.833538,2021-06-21 23:31:24.018461,0 days 00:00:00.184923000,53,0.0012117571435717696,0.9106308869499182,8,sgd,1.063635992886186e-06,,PRUNED
38,38,0.20739972591400146,2021-06-21 23:31:24.034087,2021-06-21 23:31:24.250261,0 days 00:00:00.216174000,80,0.003392054612375895,0.8770984376013875,9,Adam,2.0995333062520538e-05,,PRUNED
39,39,0.007653432432562113,2021-06-21 23:31:24.250261,2021-06-21 23:54:51.087574,0 days 00:23:26.837313000,70,0.004352689341934131,0.893707888430199,7,Adam,3.1357245470486647e-06,,COMPLETE
40,40,0.2637217044830322,2021-06-21 23:54:51.087574,2021-06-21 23:54:51.325901,0 days 00:00:00.238327000,68,0.004099311937971106,0.6071331382971504,7,Adam,1.5365873111972334e-06,,PRUNED
41,41,0.21574975550174713,2021-06-21 23:54:51.325901,2021-06-21 23:54:51.542074,0 days 00:00:00.216173000,54,0.001991539532976398,0.8934357751995061,7,Adam,5.031820042733131e-05,,PRUNED
42,42,0.2637220621109009,2021-06-21 23:54:51.542074,2021-06-21 23:54:51.758247,0 days 00:00:00.216173000,74,0.0049873211625593135,0.8599130810607791,8,Adam,2.997275488138148e-06,,PRUNED
43,43,0.2314029186964035,2021-06-21 23:54:51.758247,2021-06-21 23:54:51.990050,0 days 00:00:00.231803000,79,0.002699817252258497,0.9394107341908584,10,Adam,2.7329919684311e-06,,PRUNED
44,44,0.2854459881782532,2021-06-21 23:54:51.990050,2021-06-21 23:54:52.212761,0 days 00:00:00.222711000,87,0.0015213458367802988,0.9127513564646281,9,Adam,2.086401909594143e-06,,PRUNED
45,45,0.22528322041034698,2021-06-21 23:54:52.212761,2021-06-21 23:54:52.428952,0 days 00:00:00.216191000,45,0.0037433190256377156,0.961485203769897,7,Adam,3.863327176368897e-06,,PRUNED
46,46,0.25776249170303345,2021-06-21 23:54:52.428952,2021-06-21 23:54:52.645136,0 days 00:00:00.216184000,72,0.0011525136367025923,0.9240596342617486,8,sgd,3.4878272183910603e-05,,PRUNED
47,47,0.2678675055503845,2021-06-21 23:54:52.645136,2021-06-21 23:54:52.876938,0 days 00:00:00.231802000,38,0.0007443437176224209,0.8383670796927122,9,Adam,5.706594896771578e-06,,PRUNED
48,48,0.1973242163658142,2021-06-21 23:54:52.876938,2021-06-21 23:54:53.093113,0 days 00:00:00.216175000,97,4.765658092173668e-05,0.9772507572517319,8,Adam,1.3560549584102277e-06,,PRUNED
49,49,0.24471408128738403,2021-06-21 23:54:53.093113,2021-06-21 23:54:53.315828,0 days 00:00:00.222715000,32,0.0031659454470985833,0.8836905052329945,10,Adam,1.7723362209811857e-05,,PRUNED
50,50,0.22056713700294495,2021-06-21 23:54:53.315828,2021-06-21 23:54:53.547649,0 days 00:00:00.231821000,57,0.0017464224681734883,0.8542703720880441,7,Adam,3.2495158201913792e-06,,PRUNED
51,51,0.19358253479003906,2021-06-21 23:54:53.547649,2021-06-21 23:54:53.732571,0 days 00:00:00.184922000,89,0.00037350656615890075,0.8940516568493118,6,Adam,8.351068339735834e-06,,PRUNED
52,52,0.2316967248916626,2021-06-21 23:54:53.732571,2021-06-21 23:54:53.964367,0 days 00:00:00.231796000,95,0.00034536852949803383,0.9454732821250988,7,Adam,9.568162517052193e-06,,PRUNED
53,53,0.2845475673675537,2021-06-21 23:54:53.964367,2021-06-21 23:54:54.180547,0 days 00:00:00.216180000,100,0.0022473035872280812,0.8711941093448052,9,Adam,1.0831379727800057e-05,,PRUNED
54,54,0.2839871048927307,2021-06-21 23:54:54.196170,2021-06-21 23:54:54.412348,0 days 00:00:00.216178000,8,0.001083707827248028,0.9805988838798279,8,Adam,1.3250745559878681e-05,,PRUNED
55,55,0.23678874969482422,2021-06-21 23:54:54.412348,2021-06-21 23:54:54.619413,0 days 00:00:00.207065000,25,0.0040098146395991996,0.9134996494951338,7,Adam,5.201238744030891e-06,,PRUNED
56,56,0.21010252833366394,2021-06-21 23:54:54.619413,2021-06-21 23:54:54.819968,0 days 00:00:00.200555000,94,0.0004741652511128686,0.8108477188130522,6,Adam,6.9831233703271605e-06,,PRUNED
